Part Name,Cut List Folder Name,Property Name,Value/Text Expression,Evaluated Value

031_MultiBody.SLDPRT,SB BEAM 100 X 8<2>
,,LENGTH,"LENGTH@@@SB BEAM 100 X 8<2>@031_MultiBody.SLDPRT",850
,,ANGLE1,"ANGLE1@@@SB BEAM 100 X 8<2>@031_MultiBody.SLDPRT",45°
,,ANGLE2,"ANGLE2@@@SB BEAM 100 X 8<2>@031_MultiBody.SLDPRT",45°
,,UNIT_OF_MEASURE,LENGTH,LENGTH
,,DESCRIPTION,SB BEAM "DEPTH@Sb beam 100 X 8(1)@031_MultiBody.SLDPRT" X 8,SB BEAM 100 X 8
,,MATERIAL,"SW-Material@@@SB BEAM 100 X 8<2>@031_MultiBody.SLDPRT",Material <not specified>
,,QUANTITY,"QUANTITY@@@SB BEAM 100 X 8<2>@031_MultiBody.SLDPRT",2
,,TOTAL LENGTH,"TOTAL LENGTH@@@SB BEAM 100 X 8<2>@031_MultiBody.SLDPRT",4300

031_MultiBody.SLDPRT,SB BEAM 100 X 8<3>
,,LENGTH,"LENGTH@@@SB BEAM 100 X 8<3>@031_MultiBody.SLDPRT",1300
,,ANGLE1,"ANGLE1@@@SB BEAM 100 X 8<3>@031_MultiBody.SLDPRT",45°
,,ANGLE2,"ANGLE2@@@SB BEAM 100 X 8<3>@031_MultiBody.SLDPRT",45°
,,UNIT_OF_MEASURE,LENGTH,LENGTH
,,DESCRIPTION,SB BEAM "DEPTH@Sb beam 100 X 8(1)@031_MultiBody.SLDPRT" X 8,SB BEAM 100 X 8
,,MATERIAL,"SW-Material@@@SB BEAM 100 X 8<3>@031_MultiBody.SLDPRT",Material <not specified>
,,QUANTITY,"QUANTITY@@@SB BEAM 100 X 8<3>@031_MultiBody.SLDPRT",2
,,TOTAL LENGTH,"TOTAL LENGTH@@@SB BEAM 100 X 8<3>@031_MultiBody.SLDPRT",4300
